,URL,BRAND,ITEM,DISCOUNTED PRICE,MRP,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS
0,https://flipkart.com/manaitri-floral-print-girls-regular-multicolor-skirt/p/itmacb100350cc37?pid=SKIG6GGRRH6SACRE&lid=LSTSKIG6GGRRH6SACREZKWHM0&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_1&otracker=browse&fm=organic&iid=en_JKUuD7M4UgkZ%2BF79sQVFP9BSHcmLJN%2FcnGDDuIDKVtBuiMM6goMHUPsUK32A9ZBZnBbbb9Eyc%2BcKYyRibUKsQQ%3D%3D&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,Manaitri , ,₹475,"₹1,999",4,289,33,"['Nice', 'Excellent', 'Good product']"
1,https://flipkart.com/presha-printed-women-regular-multicolor-skirt/p/itm89870518df2ac?pid=SKIGJR2PYNYZCYQC&lid=LSTSKIGJR2PYNYZCYQCMYNTNO&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_2&otracker=browse&fm=organic&iid=en_JKUuD7M4UgkZ%2BF79sQVFP9BSHcmLJN%2FcnGDDuIDKVtBPjaI%2BBmMvHkwmHq8mpzqcLx%2B5GXeCLLcQ2n2v5N9HNA%3D%3D&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,Presha , ,₹499,₹799,5,4,3,"['Thanks flipkart  Very good  product', 'Nice 👌', 'Best pair skirtWorth ittt❤️❤️❤️']"
2,https://flipkart.com/zwerlon-self-design-women-pleated-dark-blue-skirt/p/itmce90b9da31520?pid=SKIG2UB8FZGTMF54&lid=LSTSKIG2UB8FZGTMF54PDTLEQ&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_3&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIG2UB8FZGTMF54.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,ZWERLON , ,₹229,₹999,4,8891,701,"['Too good for the price paid. A big yes if you ask me to go for it.', 'Perfect!', ""It's good and worth purchase""]"
3,https://flipkart.com/zwerlon-self-design-women-pleated-light-green-skirt/p/itm7e5d97eb3c155?pid=SKIG4UZUNHGNQSBG&lid=LSTSKIG4UZUNHGNQSBGRWTVNT&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_4&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIG4UZUNHGNQSBG.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,ZWERLON , ,₹229,₹999,4,8891,701,"['Too good for the price paid. A big yes if you ask me to go for it.', 'Perfect!', ""It's good and worth purchase""]"
4,https://flipkart.com/berrylush-floral-print-women-pencil-blue-skirt/p/itma3921a079cf09?pid=SKIGHYFZCGMZYDXG&lid=LSTSKIGHYFZCGMZYDXGQ42FXS&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_5&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIGHYFZCGMZYDXG.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,Berrylush , ,₹191,"₹1,599",4.3,19,0,[]
5,https://flipkart.com/zwerlon-solid-women-pleated-purple-skirt/p/itm3189af40024da?pid=SKIG3VT2FBNZBZFR&lid=LSTSKIG3VT2FBNZBZFRGWGTJP&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_6&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIG3VT2FBNZBZFR.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,ZWERLON , ,₹229,"₹1,999",4.1,849,90,"['Soft fabric with light weight... Very comfortable to wear. Go for it', 'Good quality.. Love it!!', 'I was really surprised .... as seen in the ad .....No thickness but no problem..... thanks Flipkart .. this is the first shopping ... this is a great experience ...']"
6,https://flipkart.com/dl-fashion-solid-women-flared-black-skirt/p/itm66a6510a9e7f5?pid=SKIFYFSRNDVJJCJC&lid=LSTSKIFYFSRNDVJJCJCKNX64J&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_7&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIFYFSRNDVJJCJC.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,DL Fashion , ,₹370,₹999,4,3510,344,"['I very happy to buy this product..it is very beautiful skirt.. material is good nt great but overall i loved it..', 'Great 👍 lovely skirt 😍 amazingly', 'The skirt is of good quality']"
7,https://flipkart.com/saptarang-floral-print-women-flared-pink-skirt/p/itm03ee403b96301?pid=SKIG6F6QM3JHCCYC&lid=LSTSKIG6F6QM3JHCCYCMUVS2W&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_8&otracker=browse&fm=organic&iid=en_JKUuD7M4UgkZ%2BF79sQVFP9BSHcmLJN%2FcnGDDuIDKVtDfFV%2FXvbsWSqCyboMnLuBjVRL4iSc7QCIWYfBjPKkAQQ%3D%3D&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,saptarang , ,₹442,"₹1,299",4.5,28,1,['Look fed but good product']
8,https://flipkart.com/dl-fashion-solid-women-flared-black-skirt/p/itme775403061819?pid=SKIFNHFCJFJE7HHR&lid=LSTSKIFNHFCJFJE7HHRV0RK7J&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_9&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIFNHFCJFJE7HHR.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,DL Fashion , ,₹239,₹999,4,4710,477,"['Good quality', 'It was good 😊', 'Nice cloth fabric and so much comfortable!💗']"
9,https://flipkart.com/aask-solid-women-pleated-black-skirt/p/itm861465d9a32ba?pid=SKIGAXZYJ5TVRVHH&lid=LSTSKIGAXZYJ5TVRVHHH56U6S&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_10&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIGAXZYJ5TVRVHH.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,AASK , ,₹229,"₹1,699",4,7886,724,"['Good', 'Ok', ""No lining inside the skirt but outer look is as shown as picture but it's transparent""]"
10,https://flipkart.com/purple-feather-solid-women-pencil-black-skirt/p/itmf3y4nuyvabgxe?pid=SKIEK7SV2VJVDHJ8&lid=LSTSKIEK7SV2VJVDHJ8LYQBKW&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_11&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIEK7SV2VJVDHJ8.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,Purple Feather , ,₹349,"₹1,499",4.1,4510,620,"['Nice and comfortable for office purpose', 'Good as per the description. Fits well too. Worth buying', 'Nice one']"
11,https://flipkart.com/kanchuk-self-design-women-flared-brown-skirt/p/itm23454b603c719?pid=SKIGKJR23HG7MTZF&lid=LSTSKIGKJR23HG7MTZFUQYHVE&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_12&otracker=browse&fm=organic&iid=en_JKUuD7M4UgkZ%2BF79sQVFP9BSHcmLJN%2FcnGDDuIDKVtDloJY4s7%2F24peo2eHr4KeqYbgludeT3X36sMFPh6ChOA%3D%3D&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,KANCHUK , ,₹899,"₹2,199",0,0,0,[]
12,https://flipkart.com/deklook-solid-women-pleated-black-skirt/p/itm32d94d0ce4c92?pid=SKIG6KYSZ4ZPBCZH&lid=LSTSKIG6KYSZ4ZPBCZHNGJYWV&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_13&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIG6KYSZ4ZPBCZH.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,Deklook , ,₹299,"₹1,999",3.9,1570,102,"['Beautiful Skirt! Go for it!', 'Gud ...', 'Same as shown! I liked it😃']"
13,https://flipkart.com/montrez-solid-women-a-line-blue-skirt/p/itmed33543422207?pid=SKIGFGEQSZ5EG2NZ&lid=LSTSKIGFGEQSZ5EG2NZGF2T0S&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_14&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIGFGEQSZ5EG2NZ.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,MONTREZ , ,₹349,"₹1,499",4.1,5616,562,"['Nice', 'Super product. Deniem material,light blue in clour, my waist size is 30 but for this skirt choose 28  thats give u perfect fit.😁', 'Nice skirt , very pretty colth .']"
14,https://flipkart.com/royal-taylor-solid-women-pleated-black-skirt/p/itmc6a46ec13b964?pid=SKIG4RF4ASUZRYJN&lid=LSTSKIG4RF4ASUZRYJNQ9HVL1&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&spotlightTagId=BestsellerId_clo%2Fvua%2Fiku&srno=b_1_15&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIG4RF4ASUZRYJN.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,ROYAL TAYLOR , ,₹329,"₹1,599",4,2713,248,"['Nyc pdct', 'Very nice skirt', 'Very nice i like it']"
15,https://flipkart.com/cutiekins-printed-girls-regular-multicolor-skirt/p/itmcb30eea18044b?pid=SKIFZZS3UZDEJF2H&lid=LSTSKIFZZS3UZDEJF2HZYXQ6R&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_16&otracker=browse&fm=organic&iid=en_JKUuD7M4UgkZ%2BF79sQVFP9BSHcmLJN%2FcnGDDuIDKVtBxFf4BzaEs9p1utQszCIdu5rOOoSXqEYK4xR%2BTIhbvTA%3D%3D&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,CUTIEKINS , ,₹345,"₹1,099",4,102,14,"['Best 👍👍👍', 'Cheap quality', 'Perfect design with perfect quality']"
16,https://flipkart.com/zwerlon-solid-women-pleated-black-skirt/p/itm833d21a7f1962?pid=SKIG9XXZGZAGQTNH&lid=LSTSKIG9XXZGZAGQTNHQZNZG6&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_17&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIG9XXZGZAGQTNH.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,ZWERLON , ,₹229,₹999,3.9,139,12,"['Fantastic 😍😍', 'Nice product', 'Classy product,love it']"
17,https://flipkart.com/nuevosdamas-floral-print-striped-women-pleated-pink-skirt/p/itm3896ac7d6eca0?pid=SKIG3KP424GVYESN&lid=LSTSKIG3KP424GVYESN6DBCMU&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_18&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIG3KP424GVYESN.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,NUEVOSDAMAS , ,₹382,"₹1,599",4.1,1479,158,"['I loved it', 'Loved the skirt for this price! The material is good and looks perfect for spring!', 'Worth for Money Good fabric Looks casual']"
18,https://flipkart.com/tokyo-talkies-checkered-women-pleated-pink-skirt/p/itma64aac6c9d46d?pid=SKIGAMARCTVXHAME&lid=LSTSKIGAMARCTVXHAMEG15W3G&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_19&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIGAMARCTVXHAME.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,Tokyo Talkies , ,₹364,"₹1,299",4.3,487,59,"['Its soo cute n super high waist, i brought 28...its bit tight but i prefer tight fitting..for comfortable fit go one size up', 'Nice', 'It was a very good quality product. I love this ❤️']"
19,https://flipkart.com/klart-checkered-women-pleated-black-white-skirt/p/itmf5233b9f87e41?pid=SKIG5MJ63YGT6CK3&lid=LSTSKIG5MJ63YGT6CK3US2WPQ&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_20&otracker=browse&fm=organic&iid=en_JKUuD7M4UgkZ%2BF79sQVFP9BSHcmLJN%2FcnGDDuIDKVtC7ncN3aaEwffKR6Iu90Wy76cKLZ%2FUwS0sSyZzp1rWmOQ%3D%3D&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,KLART , ,₹719,"₹1,499",4.3,248,24,"['As shown as the pic..The quality of skirt is too good.totally loved it😍❤value for price. Just go for this😗', 'If you are a kpop fan you will love it, just go for it very nice product with affordable price💜', ""I'm honestly really impressed with this product. I didn't really expected it to be this good. It fits perfectly, I brought it because my friend's birthday is coming and I almost had nothing to wear. The quality is also good and it had cycling shots attached with it. Would recommend to buy :)""]"
20,https://flipkart.com/kotty-solid-women-pencil-black-skirt/p/itm979cfab19c8d1?pid=SKIGCCM8TWUZPEVP&lid=LSTSKIGCCM8TWUZPEVPJBVXM6&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_21&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIGCCM8TWUZPEVP.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,KOTTY , ,₹349,"₹1,999",4.1,340,15,"['Awesome  product 👌  very comfortable , stretchable and nice fabric . Quality is also good and same as shown... loved it.....', 'Very very comfortable & beautiful I loved it 😍♥', ""It's very very nice go for it❤""]"
21,https://flipkart.com/montrez-solid-women-straight-dark-blue-skirt/p/itm918546888c1f2?pid=SKIGFHMYPMAR6DYH&lid=LSTSKIGFHMYPMAR6DYHPXXFVJ&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_22&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIGFHMYPMAR6DYH.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,MONTREZ , ,₹349,"₹1,499",4.1,8568,768,"['I love this product small size.Thank you Flipkart ❤️', ""It's really versatile, goes with almost everything! Very good investment"", 'Very nice ♥️😍']"
22,https://flipkart.com/sassafras-floral-print-women-a-line-brown-orange-skirt/p/itmfe3dhyexnhfpj?pid=SKIFE3F6R6PF7W9Y&lid=LSTSKIFE3F6R6PF7W9YYJNQCK&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_23&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIFE3F6R6PF7W9Y.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,SASSAFRAS , ,₹599,"₹1,499",4.3,1073,131,"['exactly as on the picture. Material is also good. fits great', 'lovely . beautiful skirt. breezy feel. light to wear and touch', ""It's a awesome product...if anyone is wishing to buy ..should order it without any confusion""]"
23,https://flipkart.com/jyotrang-solid-women-tube-black-skirt/p/itm8df8e7512a875?pid=SKIGG6GFUJGGSHER&lid=LSTSKIGG6GFUJGGSHERJLDNH8&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_24&otracker=browse&fm=organic&iid=en_JKUuD7M4UgkZ%2BF79sQVFP9BSHcmLJN%2FcnGDDuIDKVtBhK9kEGwX5oLyzjNI43daCLqoFnR4LV8aWdwcn4vGa%2Bg%3D%3D&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,JYOTRANG , ,₹494,₹999,0,0,0,[]
24,https://flipkart.com/areca-designer-solid-women-a-line-maroon-skirt/p/itmb73f60061f9bf?pid=SKIGFYGTGZU9MTVK&lid=LSTSKIGFYGTGZU9MTVKCX8MZM&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_25&otracker=browse&fm=organic&iid=54492f58-4f30-4c61-a1d9-5b971568f439.SKIGFYGTGZU9MTVK.SEARCH&ppt=None&ppn=None&ssid=ifg1tanbrk0000001670218388920,Areca Designer , ,₹422,"₹1,499",4.4,110,9,"['Nice colour, best fit, good qualityLove it🖤', ""It's awesome"", 'Superb. Correct fit. Good material quality']"
